,location,price,beds
653,austin-tx,7938,3
654,austin-tx,13235,3
655,austin-tx,2565,2
656,austin-tx,2303,2
657,austin-tx,2175,3
658,austin-tx,2175,4
659,austin-tx,5146,3
660,austin-tx,1709,5
661,austin-tx,2535,2
662,austin-tx,6034,2
663,austin-tx,5685,2
664,austin-tx,5101,3
665,austin-tx,7789,2
666,austin-tx,6499,2
667,austin-tx,3125,3
668,austin-tx,3885,3
669,austin-tx,2285,2
670,austin-tx,5931,3
671,austin-tx,6984,3
672,austin-tx,2830,3
673,austin-tx,2935,2
674,austin-tx,1821,2
675,austin-tx,7189,3
676,austin-tx,1635,4
677,austin-tx,3210,2
678,austin-tx,6313,2
679,austin-tx,1859,3
680,austin-tx,1385,5
681,austin-tx,5110,2
682,austin-tx,1299,5
683,austin-tx,1560,3
684,austin-tx,1839,6
685,austin-tx,1311,5
686,austin-tx,1585,4
687,austin-tx,1450,5
688,austin-tx,1660,4
689,austin-tx,1400,3
690,austin-tx,1560,3
691,austin-tx,985,4
692,austin-tx,2875,3
693,austin-tx,2805,3
694,austin-tx,1989,2
695,austin-tx,3922,2
696,austin-tx,3147,2
697,austin-tx,2625,3
698,austin-tx,3799,2
699,austin-tx,3855,2
700,austin-tx,3241,2
701,austin-tx,2890,3
702,austin-tx,3289,2
703,austin-tx,3760,2
704,austin-tx,6141,2
705,austin-tx,4995,2
706,austin-tx,3008,2
707,austin-tx,4408,3
708,austin-tx,3099,3
709,austin-tx,2385,3
710,austin-tx,4861,2
711,austin-tx,1199,6
712,austin-tx,2093,2
713,austin-tx,1656,4
714,austin-tx,960,3
715,austin-tx,1669,2
716,austin-tx,4047,2
717,austin-tx,2039,4
718,austin-tx,2079,3
719,austin-tx,2502,3
720,austin-tx,3075,2
721,austin-tx,8681,2
722,austin-tx,4809,3
723,austin-tx,10824,3
724,austin-tx,4728,2
725,austin-tx,3365,2
726,austin-tx,3050,2
727,austin-tx,3571,2
728,austin-tx,19570,3
729,austin-tx,1600,3
730,austin-tx,2564,2
731,austin-tx,4125,3
732,austin-tx,1489,2
733,austin-tx,2707,2
734,austin-tx,1434,2
735,austin-tx,6637,2
736,austin-tx,5834,2
737,austin-tx,2486,3
738,austin-tx,2479,1
739,austin-tx,1555,4
740,austin-tx,4846,2
741,austin-tx,1749,2
742,austin-tx,2444,2
743,austin-tx,1530,2
744,austin-tx,2648,3
745,austin-tx,1955,3
746,austin-tx,2298,2
747,austin-tx,1529,2
748,austin-tx,1795,2
749,austin-tx,1999,3
750,austin-tx,12240,3
751,austin-tx,1298,3
752,austin-tx,1999,3
753,austin-tx,2432,2
754,austin-tx,2009,3
755,austin-tx,2114,3
756,austin-tx,1620,4
757,saint-louis-mo,3000,2
758,saint-louis-mo,3399,2
759,saint-louis-mo,4095,2
760,saint-louis-mo,1015,1
761,saint-louis-mo,1880,3
762,saint-louis-mo,5124,2
763,saint-louis-mo,2897,3
764,saint-louis-mo,5400,3
765,saint-louis-mo,4889,3
766,saint-louis-mo,3363,2
767,saint-louis-mo,2500,3
768,saint-louis-mo,2025,2
769,saint-louis-mo,2375,2
770,saint-louis-mo,2745,2
771,saint-louis-mo,3441,3
772,saint-louis-mo,1324,2
773,saint-louis-mo,2614,2
774,saint-louis-mo,2224,2
775,saint-louis-mo,4025,2
776,saint-louis-mo,2995,3
777,saint-louis-mo,1050,2
778,saint-louis-mo,2250,3
779,saint-louis-mo,1620,1
780,saint-louis-mo,3024,2
781,saint-louis-mo,1370,2
782,saint-louis-mo,1500,2
783,saint-louis-mo,1270,2
784,saint-louis-mo,640,2
785,saint-louis-mo,1319,4
786,saint-louis-mo,1220,3
787,saint-louis-mo,4280,3
788,saint-louis-mo,2440,2
789,saint-louis-mo,2329,2
790,saint-louis-mo,2475,2
791,saint-louis-mo,2105,2
792,saint-louis-mo,1900,2
793,saint-louis-mo,2015,2
794,saint-louis-mo,3910,4
795,saint-louis-mo,925,2
796,saint-louis-mo,1800,3
797,saint-louis-mo,1030,3
798,saint-louis-mo,4265,2
799,saint-louis-mo,2711,3
800,saint-louis-mo,2600,2
801,saint-louis-mo,3800,1
802,saint-louis-mo,2325,2
803,saint-louis-mo,2837,3
804,saint-louis-mo,1400,1
805,saint-louis-mo,2700,2
806,saint-louis-mo,760,2
807,saint-louis-mo,1115,2
808,saint-louis-mo,1100,2
809,saint-louis-mo,804,2
810,saint-louis-mo,1410,2
811,saint-louis-mo,850,2
812,saint-louis-mo,1700,2
813,saint-louis-mo,6745,5
814,saint-louis-mo,940,2
815,saint-louis-mo,782,2
816,saint-louis-mo,1025,2
817,saint-louis-mo,2399,4
818,saint-louis-mo,650,2
819,saint-louis-mo,910,2
820,saint-louis-mo,1799,3
821,saint-louis-mo,950,3
822,minneapolis-mn,4200,4
823,minneapolis-mn,3055,2
824,minneapolis-mn,12015,3
825,minneapolis-mn,10748,3
826,minneapolis-mn,2320,2
827,minneapolis-mn,2175,2
828,minneapolis-mn,3790,2
829,minneapolis-mn,6025,3
830,minneapolis-mn,2285,2
831,minneapolis-mn,2199,2
832,minneapolis-mn,1660,2
833,minneapolis-mn,1982,2
834,minneapolis-mn,6645,2
835,minneapolis-mn,2675,2
836,minneapolis-mn,2281,2
837,minneapolis-mn,2325,2
838,minneapolis-mn,4542,3
839,minneapolis-mn,9364,3
840,minneapolis-mn,3300,2
841,minneapolis-mn,3705,2
842,minneapolis-mn,3405,2
843,minneapolis-mn,7435,2
844,minneapolis-mn,2698,2
845,minneapolis-mn,9453,3
846,minneapolis-mn,2600,2
847,minneapolis-mn,3994,2
848,minneapolis-mn,6910,3
849,minneapolis-mn,4595,2
850,minneapolis-mn,3295,2
851,minneapolis-mn,3387,3
852,minneapolis-mn,4188,2
853,minneapolis-mn,2145,2
854,minneapolis-mn,4555,3
855,minneapolis-mn,3063,3
856,minneapolis-mn,2825,2
857,minneapolis-mn,9500,3
858,minneapolis-mn,2890,2
859,minneapolis-mn,2459,2
860,minneapolis-mn,3598,3
861,minneapolis-mn,1914,2
862,minneapolis-mn,5288,4
863,minneapolis-mn,2922,2
864,minneapolis-mn,1810,2
865,minneapolis-mn,2765,4
866,minneapolis-mn,1802,2
867,minneapolis-mn,1686,2
868,minneapolis-mn,1270,1
869,minneapolis-mn,1350,1
870,minneapolis-mn,1600,1
871,minneapolis-mn,1295,1
872,minneapolis-mn,2830,2
873,minneapolis-mn,1339,4
874,minneapolis-mn,2947,2
875,minneapolis-mn,2625,2
876,minneapolis-mn,1299,1
877,minneapolis-mn,1679,4
878,minneapolis-mn,1550,2
879,minneapolis-mn,3800,3
880,minneapolis-mn,2163,2
881,minneapolis-mn,3082,3
882,minneapolis-mn,2085,2
883,minneapolis-mn,2099,2
884,minneapolis-mn,2708,2
885,minneapolis-mn,1950,2
886,minneapolis-mn,4095,2
887,minneapolis-mn,2111,2
888,minneapolis-mn,2190,3
889,minneapolis-mn,2699,3
890,minneapolis-mn,3577,2
891,minneapolis-mn,1499,2
892,minneapolis-mn,3834,2
893,minneapolis-mn,3150,4
894,minneapolis-mn,1485,1
895,minneapolis-mn,1695,2
896,minneapolis-mn,1849,3
897,minneapolis-mn,1250,1
898,minneapolis-mn,1470,4
899,minneapolis-mn,1137,1
900,minneapolis-mn,1300,2
901,minneapolis-mn,1095,4
902,minneapolis-mn,915,4
903,minneapolis-mn,4038,2
904,minneapolis-mn,2482,2
905,minneapolis-mn,2145,2
906,minneapolis-mn,3400,4
907,minneapolis-mn,2349,2
908,minneapolis-mn,3475,5
909,minneapolis-mn,3090,2
910,minneapolis-mn,1650,1
911,minneapolis-mn,2950,2
912,minneapolis-mn,3515,2
913,minneapolis-mn,1350,1
914,minneapolis-mn,1450,2
915,minneapolis-mn,2250,2
916,minneapolis-mn,1190,1
917,minneapolis-mn,1015,4
918,minneapolis-mn,1700,3
919,minneapolis-mn,2172,2
920,minneapolis-mn,1350,2
921,minneapolis-mn,2400,3
922,minneapolis-mn,1239,2
923,minneapolis-mn,1995,2
924,minneapolis-mn,2000,2
925,minneapolis-mn,1736,2
926,minneapolis-mn,2750,2
927,minneapolis-mn,1995,2
928,minneapolis-mn,2650,4
929,minneapolis-mn,4359,2
930,minneapolis-mn,2195,2
931,minneapolis-mn,1375,2
932,minneapolis-mn,1620,1
933,minneapolis-mn,1375,2
934,minneapolis-mn,1180,2
935,minneapolis-mn,3250,2
936,minneapolis-mn,1350,2
937,minneapolis-mn,925,1
938,minneapolis-mn,895,1
939,minneapolis-mn,1400,2
940,minneapolis-mn,1180,2
941,minneapolis-mn,1500,2
942,minneapolis-mn,1125,2
943,minneapolis-mn,1200,2
944,minneapolis-mn,895,1
945,minneapolis-mn,2500,4
946,minneapolis-mn,1425,2
947,minneapolis-mn,1395,2
948,minneapolis-mn,950,1
949,minneapolis-mn,1652,1
950,minneapolis-mn,1200,2
951,minneapolis-mn,1150,2
952,minneapolis-mn,1199,1
953,minneapolis-mn,1100,2
954,minneapolis-mn,1535,2
955,minneapolis-mn,1100,2
956,minneapolis-mn,2472,2
957,minneapolis-mn,3750,3
958,minneapolis-mn,1120,2
